web-scraper-order,web-scraper-start-url,titulo,ano,generos,avaliacao,votos,resumo,link,link-href,tipo,imagem-src
"1662683742-877","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen's Longest Reign: Elizabeth & Victoria","(2015)","Documentary, Biography, History","7,5","23","Documentary comparing the lives of Queen Victoria and Queen Elizabeth II, neither of whom was expected to become queen, shown on the occasion when the length of Queen Elizabeth's reign ...                See full summary »","The Queen's Longest Reign: Elizabeth & Victoria","https://www.imdb.com/title/tt4958664/?ref_=adv_li_tt","20152015","null"
"1662683745-878","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen Returns","(1963)","Short","null","null","In February 1963, Queen Elizabeth II and the Duke of Edinburgh returned to Australia for the Jubilee Year of Canberra. The film follows them on their 9,000 mile tour and shows the beauty ...                See full summary »","The Queen Returns","https://www.imdb.com/title/tt1823248/?ref_=adv_li_tt","19631963","https://m.media-amazon.com/images/M/MV5BZTViMTEyN2YtMDQzNi00MTU0LTg3ZTgtNDMyNWZiYjIxNTA0XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UY281_CR155,0,190,281_.jpg"
"1662683749-879","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","A Queen's World Tour","(1954)","Documentary","null","null","This is a documentary covering Queen Elizabeth II's World Tour or, at least, the portion through the Fiji Islands, the Friendly Islands and New Zealand. The Queen attends some festivals in ...                See full summary »","A Queen's World Tour","https://www.imdb.com/title/tt0212455/?ref_=adv_li_tt","19541954","https://m.media-amazon.com/images/M/MV5BNDExM2Q0YjAtNDZjMS00YTcxLWI1NTgtZDRhNDA2ZGUzMDIzXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UY281_CR96,0,190,281_.jpg"
"1662683753-880","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Drums for a Queen","(1961)","Documentary, Short","null","null","A documentary detailing the state visit (aka ""Royal Tour"") paid by Great Britain's Queen Elizabeth II to the recently independent West African countries of Ghana, Liberia, Sierra Leone, and...                See full summary »","Drums for a Queen","https://www.imdb.com/title/tt16061332/?ref_=adv_li_tt","19611961","null"
"1662683756-881","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Queen Elizabeth & Prince Philip: Love, Marriage & Country","(2021)","Documentary","null","null","Queen Elizabeth II has been the reigning monarch of the United Kingdom and the Commonwealth since 1952. Much like the nation she resides over, she has seen unimaginable growth and change in...                See full summary »","Queen Elizabeth & Prince Philip: Love, Marriage & Country","https://www.imdb.com/title/tt14534334/?ref_=adv_li_tt","20212021","https://m.media-amazon.com/images/M/MV5BNThkNmYyYTUtYWIyMC00NWYyLTljYzUtZGZhNTU3ZGNjMzM5XkEyXkFqcGdeQXVyNjc1OTk4NjA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
"1662683761-882","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Memories of a Queen","(2010 TV Movie)","Documentary","null","null","Memories of a Queen follows the life of Elizabeth II as a princess, wife and monarch. From the splendor of her coronation to seeing her Windsor home go up in flames, the Queen, now in her ...                See full summary »","Memories of a Queen","https://www.imdb.com/title/tt1816584/?ref_=adv_li_tt","Filme para televisão","null"
"1662683764-883","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen in the UAE","(2010 TV Special)","News","null","null","Queen Elizabeth II visits Abu Dhabi for the second time.","The Queen in the UAE","https://www.imdb.com/title/tt2166237/?ref_=adv_li_tt","Especial de TV","null"
"1662683768-884","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Queen's Christmas Message","(2017 TV Short)","Short, News","null","null","HM Queen Elizabeth II delivers her annual address in the Christmas message to the nation and the Commonwealth.","The Queen's Christmas Message","https://www.imdb.com/title/tt7777830/?ref_=adv_li_tt","Curta para TV","https://m.media-amazon.com/images/M/MV5BZWY2Yjk0YjQtZWFlYi00NDI2LWI1MjYtNTBiNjRjZTNmZTIwXkEyXkFqcGdeQXVyODM2ODUwMTQ@._V1_QL75_UY281_CR155,0,190,281_.jpg"
"1662683772-885","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Royal New Zealand Journey","(1954)","Documentary","null","null","Account of the royal tour of New Zealand taken by teh newly crowned Queen Elizabeth II and the Duke of Edinburgh. Includes film of various visits and ceremonies attended during the state visit.","Royal New Zealand Journey","https://www.imdb.com/title/tt0047433/?ref_=adv_li_tt","19541954","https://m.media-amazon.com/images/M/MV5BMWQyMWNlMzctZmM3ZS00NjI5LWFkMTAtNmIwN2E2YzkwZjgyXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_QL75_UY281_CR19,0,190,281_.jpg"
"1662683776-886","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Coronation Britain: The Making of a Queen","(2012 Video)","Documentary, History","null","null","THIS IS THE story of how a shy and petite 25-year-old woman was suddenly and unexpectedly thrust into the limelight, instantly becoming the most famous woman in the world. Succeeding her ...                See full summary »","Coronation Britain: The Making of a Queen","https://www.imdb.com/title/tt9685702/?ref_=adv_li_tt","Vídeo","null"
